voltage,current,sound,gas,temp,hum,heading,tahmin,durum
5.0,13.514,1007.0,1023.0,23.5,53.0,258.01364346962515,1,NORMAL
5.0,13.514,1023.0,1023.0,22.4,61.0,230.02146104220185,1,NORMAL
5.0,13.514,1016.0,1023.0,24.4,53.0,235.0591316592548,1,NORMAL
5.0,13.514,1021.0,1023.0,23.4,51.0,223.30437464522035,1,NORMAL
5.0,13.514,1023.0,1023.0,22.1,60.0,227.9839106647685,1,NORMAL
5.0,13.514,1016.0,1023.0,23.9,53.0,229.03923846768785,1,NORMAL
5.0,13.514,1011.0,1023.0,24.3,54.0,235.353790587842,1,NORMAL
5.0,13.514,1017.0,1023.0,24.1,53.0,227.80004542315476,1,NORMAL
5.0,13.514,1023.0,1023.0,22.1,61.0,228.422513911009,1,NORMAL
5.0,13.514,1023.0,1023.0,22.3,61.0,227.8466169158161,1,NORMAL
5.0,13.514,1017.0,1023.0,23.4,55.0,298.9525006932911,1,NORMAL
5.0,13.514,1021.0,1023.0,22.7,56.0,305.61848983925177,-1,ANOMALI
5.0,13.514,1023.0,1023.0,22.4,60.0,229.8596144309724,1,NORMAL
5.0,13.514,1023.0,1023.0,22.7,60.0,231.21083178619156,1,NORMAL
5.0,13.514,1022.0,1023.0,22.7,60.0,232.2243156940453,1,NORMAL
5.0,13.514,1023.0,1023.0,22.7,59.0,229.6931945761094,1,NORMAL
5.0,13.514,1023.0,1023.0,22.6,60.0,229.9893625696422,1,NORMAL
5.0,13.514,1023.0,1023.0,22.7,59.0,229.88322471004025,1,NORMAL
5.0,13.514,1023.0,2047.1350561342224,22.7,60.0,231.00653492719837,1,NORMAL
5.0,13.514,1018.0,1023.0,22.7,55.0,221.07113862286985,1,NORMAL
5.0,13.514,1008.0,1023.0,24.1,53.0,228.14874179979356,1,NORMAL
5.0,13.514,1023.0,1023.0,22.3,61.0,229.11753966451255,1,NORMAL
5.0,13.514,1004.0,1023.0,24.1,53.0,228.41658819177133,1,NORMAL
5.0,13.514,1023.0,1023.0,22.7,58.0,229.7138749261489,1,NORMAL
5.0,13.514,1016.0,1023.0,23.5,54.0,224.13506831783133,1,NORMAL
5.0,13.514,1013.0,1023.0,23.7,55.0,227.86881725796243,1,NORMAL
5.0,13.514,1023.0,1023.0,23.3,53.0,283.63774756306134,1,NORMAL
5.0,13.514,1023.0,1023.0,22.1,62.0,227.7338464419477,1,NORMAL
5.0,13.514,1021.0,1023.0,23.4,53.0,241.4726206396792,1,NORMAL
5.0,13.514,1014.0,1023.0,23.7,53.0,222.864268666361,1,NORMAL
5.0,13.514,1023.0,1023.0,22.4,58.0,228.98873752964613,1,NORMAL
5.0,13.514,1016.0,1023.0,22.7,60.0,225.67502949676677,1,NORMAL
5.0,13.514,1020.0,1023.0,23.2,55.0,241.0976429637982,1,NORMAL
5.0,13.514,1018.0,1023.0,42.1329807442751,54.0,237.1860771423541,-1,ANOMALI
5.0,13.514,1023.0,1023.0,23.4,55.0,282.1816816866529,1,NORMAL
5.0,13.514,1007.0,1023.0,22.8,55.0,306.0536920692944,-1,ANOMALI
5.0,13.514,1023.0,1023.0,23.7,55.0,221.8223998952949,1,NORMAL
5.0,13.514,1006.0,1023.0,24.1,53.0,228.6322742600437,1,NORMAL
5.0,13.514,1023.0,1023.0,22.1,61.0,227.7414236291016,1,NORMAL
5.0,13.514,1023.0,1023.0,22.6,59.0,230.69174584228696,1,NORMAL
5.0,13.514,1015.0,1023.0,22.5,60.0,228.3220376868369,1,NORMAL
5.0,13.514,1011.0,1023.0,22.6,55.0,226.5781144664248,1,NORMAL
5.0,13.514,1023.0,1023.0,22.8,58.0,228.9495656358557,1,NORMAL
5.0,13.514,1017.0,1023.0,23.4,54.0,281.56794234596225,1,NORMAL
5.0,13.514,1022.0,1023.0,22.7,60.0,230.23558966179843,1,NORMAL
5.0,13.514,1014.0,1023.0,24.1,52.0,228.7230479550407,1,NORMAL
